name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
BAJRA,12.4,11.6,5,2.3,1.2,67.5,361,42,296,8,137,10.9,307,1.06,1.15,0.07,3.1,0.02,147,39,132,0.33,0.25,2.3,0,14.7,45.5,0,0,1.86,140,190,110,290,150,240,750,260,330,300,200,110,1,0.24,0,0,0,1.24,0,1.2,1.2,2.2,0.13,2.33,21,141,48,11.3,9.1,2.2
BARLEY,12.5,11.5,1.3,1.2,3.9,69.6,336,26,215,1.67,21,0,0,1.19,1.03,0,1.2,0.02,130,91,10,0.47,0.2,5.4,0,0,0,0,0,1.84,180,230,100,310,100,200,420,240,310,300,180,100,0,0,0,0,0,0,0,0,0,0,0,0,2,101,47,0,0,0
ITALIAN MILLET,11.2,12.3,4.3,3.3,8,60.9,331,31,290,2.8,81,4.6,250,1.4,0.6,0.07,2.4,0.03,171,37,32,0.59,0.11,3.2,0,4.2,15,0,0,1.97,130,140,60,420,180,190,1040,480,430,220,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,198,68,0,0,0
JOWAR,11.9,10.4,1.9,1.6,1.6,72.6,349,25,222,4.1,171,7.3,131,0.46,0.78,0.04,1.6,0.01,54,44,47,0.37,0.13,3.1,0.21,14,20,0,0,1.66,160,150,70,300,100,210,880,270,340,240,180,90,0.5,0.07,0,0,0,0.57,0,1,1,1.5,0.05,1.55,10,172,77,9.7,8,1.7
"MAIZE, dry",14.9,11.1,3.6,1.5,2.7,66.2,342,10,348,2.3,139,15.9,286,0.41,0.48,0.04,2.8,0,114,33,90,0.42,0.1,1.8,0,14,20,0,0,1.78,160,200,40,290,120,280,720,240,300,290,240,100,0.7,0.2,0,0,0,0.9,0,1.1,1.1,2.2,0.05,2.25,6,306,85,11.9,11,0.9
"MAIZE, tender",67.1,4.7,0.9,0.8,1.9,24.6,125,9,121,1.1,40,51.7,151,0,0,0,0,0,61,34,32,0.11,0.17,0.6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,66,55,0,0,0
PANIVARAGU,11.9,12.5,1.1,1.9,2.2,70.4,341,14,206,0.8,153,8.2,113,1.6,0.6,0,1.4,0.02,157,19,0,0.2,0.18,2.3,0,0,0,0,748,2,110,190,50,310,160,150,760,410,410,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,40,0,0,0
RAGI,13.1,7.3,1.3,2.7,3.6,72,328,344,283,3.9,137,11,408,0.47,5.49,0.1,2.3,0.03,160,44,42,0.42,0.19,1.1,0,5.2,18.3,0,0,1.17,130,220,100,310,210,240,690,400,480,300,220,140,0.3,0.02,0,0,0,0.32,0,0.7,0.7,0.3,0.05,0.35,0,209,74,11.5,9.9,1.6
"RICE, parboiled, handpounded",12.6,8.5,0.6,0.9,0,77.4,349,10,280,2.8,157,0,0,0.24,1.1,0.08,1.4,0.01,0,0,9,0.27,0.12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RICE, parboiled, milled",13.3,6.4,0.4,0.7,0.2,79,346,9,143,1,91,0,0,0.17,0.8,0.07,1.4,0.01,0,0,0,0.21,0.05,3.8,0.24,8.9,11,0,0,1.02,190,220,70,350,220,290,560,310,460,640,300,100,0,0,0,0,0,0,0,0,0,0,0,0,1,83,58,4.1,3.2,0.9
